,geo,time,cell_phones_total
630,bel,1965,0.0
631,bel,1970,0.0
632,bel,1975,0.0
633,bel,1976,0.0
634,bel,1977,0.0
635,bel,1978,0.0
636,bel,1979,0.0
637,bel,1980,0.0
638,bel,1981,0.0
639,bel,1982,0.0
640,bel,1983,0.0
641,bel,1984,0.0
642,bel,1985,0.0
643,bel,1986,3798.0
644,bel,1987,7223.0
645,bel,1988,19154.0
646,bel,1989,30791.0
647,bel,1990,42880.0
648,bel,1991,51420.0
649,bel,1992,61460.0
650,bel,1993,67771.0
651,bel,1994,128071.0
652,bel,1995,235258.0
653,bel,1996,478172.0
654,bel,1997,974494.0
655,bel,1998,1756287.0
656,bel,1999,3186602.0
657,bel,2000,5629000.0
658,bel,2001,7697000.0
659,bel,2002,8101777.0
660,bel,2003,8605834.0
661,bel,2004,9131705.0
662,bel,2005,9604695.0
663,bel,2006,9847375.0
664,bel,2007,10738121.0
665,bel,2008,11341704.0
666,bel,2009,11775240.0
667,bel,2010,12154041.0
668,bel,2011,12495934.0
669,bel,2012,12313375.0
670,bel,2013,12315217.0
671,bel,2014,12734724.0
672,bel,2015,12774090.0
673,bel,2016,12550821.0
674,bel,2017,11357286.0
675,bel,2018,11447351.0
676,bel,2019,11509573.0
677,ben,1960,0.0
678,ben,1965,0.0
679,ben,1970,0.0
680,ben,1975,0.0
681,ben,1976,0.0
682,ben,1977,0.0
683,ben,1978,0.0
684,ben,1979,0.0
685,ben,1980,0.0
686,ben,1981,0.0
687,ben,1982,0.0
688,ben,1983,0.0
689,ben,1984,0.0
690,ben,1985,0.0
691,ben,1986,0.0
692,ben,1987,0.0
693,ben,1988,0.0
694,ben,1989,0.0
695,ben,1990,0.0
696,ben,1991,0.0
697,ben,1992,0.0
698,ben,1993,0.0
699,ben,1994,0.0
700,ben,1995,1050.0
701,ben,1996,2707.0
702,ben,1997,4295.0
703,ben,1998,6286.0
704,ben,1999,7269.0
705,ben,2000,55476.0
706,ben,2001,125000.0
707,ben,2002,218770.0
708,ben,2003,236175.0
709,ben,2004,459322.0
710,ben,2005,596267.0
711,ben,2006,1055727.0
712,ben,2007,2051776.0
713,ben,2008,3625366.0
714,ben,2009,5033349.0
715,ben,2010,7074914.0
716,ben,2011,7765206.0
717,ben,2012,8407846.0
718,ben,2013,9627447.0
719,ben,2014,8660432.0
720,ben,2015,9317955.0
721,ben,2016,8892490.0
722,ben,2017,8773044.0
723,ben,2018,9461872.0
724,ben,2019,10349847.0
725,bfa,1960,0.0
726,bfa,1965,0.0
727,bfa,1970,0.0
728,bfa,1975,0.0
729,bfa,1976,0.0
730,bfa,1977,0.0
731,bfa,1978,0.0
732,bfa,1979,0.0
733,bfa,1980,0.0
734,bfa,1981,0.0
735,bfa,1982,0.0
736,bfa,1983,0.0
737,bfa,1984,0.0
738,bfa,1985,0.0
739,bfa,1986,0.0
740,bfa,1987,0.0
741,bfa,1988,0.0
742,bfa,1989,0.0
743,bfa,1990,0.0
744,bfa,1991,0.0
745,bfa,1992,0.0
746,bfa,1993,0.0
747,bfa,1994,0.0
748,bfa,1995,0.0
749,bfa,1996,525.0
750,bfa,1997,1503.0
751,bfa,1998,2730.0
752,bfa,1999,5036.0
753,bfa,2000,25245.0
754,bfa,2001,76186.0
755,bfa,2002,111013.0
756,bfa,2003,238094.0
757,bfa,2004,395939.0
758,bfa,2005,633554.0
759,bfa,2006,1016605.0
760,bfa,2007,1858038.0
761,bfa,2008,3024150.0
762,bfa,2009,3823625.0
763,bfa,2010,5707850.0
764,bfa,2011,7682100.0
765,bfa,2012,9976105.0
766,bfa,2013,11240886.0
767,bfa,2014,12494391.0
768,bfa,2015,14446897.0
769,bfa,2016,15404040.0
770,bfa,2017,17946375.0
771,bfa,2018,19339109.0
772,bfa,2019,20364508.0
773,bgd,1960,0.0
774,bgd,1965,0.0
775,bgd,1970,0.0
776,bgd,1975,0.0
777,bgd,1976,0.0
778,bgd,1977,0.0
779,bgd,1978,0.0
780,bgd,1979,0.0
781,bgd,1980,0.0
782,bgd,1981,0.0
783,bgd,1982,0.0
784,bgd,1983,0.0
785,bgd,1984,0.0
786,bgd,1985,0.0
787,bgd,1986,0.0
788,bgd,1987,0.0
789,bgd,1988,0.0
790,bgd,1989,0.0
791,bgd,1990,0.0
792,bgd,1991,0.0
793,bgd,1992,250.0
794,bgd,1993,500.0
795,bgd,1994,1104.0
796,bgd,1995,2500.0
797,bgd,1996,4000.0
798,bgd,1997,26000.0
799,bgd,1998,75000.0
800,bgd,1999,149000.0
801,bgd,2000,279000.0
802,bgd,2001,520000.0
803,bgd,2002,1075000.0
804,bgd,2003,1365000.0
805,bgd,2004,2781560.0
806,bgd,2005,9000000.0
807,bgd,2006,19130983.0
808,bgd,2007,34370000.0
809,bgd,2008,44640000.0
810,bgd,2009,51359315.0
811,bgd,2010,67923887.0
812,bgd,2011,84368700.0
813,bgd,2012,97180000.0
814,bgd,2013,116553076.0
815,bgd,2014,126866091.0
816,bgd,2015,131375724.0
817,bgd,2016,135981846.0
818,bgd,2017,150945000.0
819,bgd,2018,161771617.0
820,bgd,2019,165572000.0
821,bgr,1960,0.0
822,bgr,1965,0.0
823,bgr,1970,0.0
824,bgr,1975,0.0
825,bgr,1976,0.0
826,bgr,1977,0.0
827,bgr,1978,0.0
828,bgr,1979,0.0
829,bgr,1980,0.0
830,bgr,1981,0.0
831,bgr,1982,0.0
832,bgr,1983,0.0
833,bgr,1984,0.0
834,bgr,1985,0.0
835,bgr,1986,0.0
836,bgr,1987,0.0
837,bgr,1988,0.0
838,bgr,1989,0.0
839,bgr,1990,0.0
840,bgr,1991,0.0
841,bgr,1992,0.0
842,bgr,1993,1000.0
843,bgr,1994,6500.0
844,bgr,1995,20920.0
845,bgr,1996,26588.0
846,bgr,1997,70000.0
847,bgr,1998,127000.0
848,bgr,1999,350000.0
849,bgr,2000,738000.0
850,bgr,2001,1550000.0
851,bgr,2002,2597548.0
852,bgr,2003,3500869.0
853,bgr,2004,4729731.0
854,bgr,2005,6244922.0
855,bgr,2006,8253416.0
856,bgr,2007,9897477.0
857,bgr,2008,10429012.0
858,bgr,2009,10454822.0
859,bgr,2010,10199942.0
860,bgr,2011,10475083.0
861,bgr,2012,10780732.0
862,bgr,2013,10486824.0
863,bgr,2014,9486927.0
864,bgr,2015,9194633.0
865,bgr,2016,8973869.0
866,bgr,2017,8532908.0
867,bgr,2018,8387160.0
868,bgr,2019,8134581.0
869,bhr,1960,0.0
870,bhr,1965,0.0
