ID,gender,age,group,time
12222,M,27,M25-29,7.216944445
12223,F,24,F18-24,7.223333333
12224,F,65,F65+,6.933888888
12225,F,26,F25-29,7.216666667
12226,M,39,M35-39,7.090555555
12227,F,49,F45-49,7.274722222
12228,F,32,F30-34,7.041111112
12229,M,37,M35-39,7.266111112
12230,F,28,F25-29,7.090277778
12231,F,36,F35-39,7.266388888
12232,F,50,F50-54,7.305833333
12233,F,56,F55-59,7.217222222
12234,M,41,M40-44,6.980277778
12235,F,50,F50-54,6.975833333
12236,M,39,M35-39,7.266388888
12237,F,27,F25-29,7.223055555
12238,F,23,F18-24,7.266666667
12239,F,29,F25-29,7.266666667
12240,F,37,F35-39,6.865555555
12241,F,42,F40-44,7.274722222
12242,M,49,M45-49,7.273055555
12243,F,62,F60-64,7.123055555
12244,M,45,M45-49,6.974166667
12245,M,42,M40-44,6.974166667
12246,M,34,M30-34,6.974166667
12247,F,63,F60-64,7.050833333
12248,M,78,M65+,6.839444445
12249,M,47,M45-49,6.977222222
12250,F,33,F30-34,7.269444445
12251,F,45,F45-49,7.275277778
12252,M,46,M45-49,7.275
12253,M,34,M30-34,7.115
12254,F,40,F40-44,7.115
12255,M,32,M30-34,7.054444445
12256,F,37,F35-39,7.295277778
12257,F,45,F45-49,7.295555555
12258,F,34,F30-34,7.237777778
12259,M,38,M35-39,7.337777778
12260,F,48,F45-49,7.078333333
12261,F,22,F18-24,7.0175
12262,M,52,M50-54,6.974166667
12263,F,51,F50-54,7.050277778
12264,F,55,F55-59,7.223611112
12265,F,52,F50-54,7.276388888
12266,F,18,F18-24,7.270833333
12267,F,20,F18-24,7.091666667
12268,F,56,F55-59,7.224166667
12269,M,50,M50-54,7.271388888
12270,M,53,M50-54,6.84
12271,F,49,F45-49,7.083888888
12272,F,39,F35-39,7.228333333
12273,F,56,F55-59,7.088333333
12274,F,40,F40-44,7.161944445
12275,F,29,F25-29,7.299722222
12276,M,45,M45-49,7.161944445
12277,M,35,M35-39,7.305277778
12278,F,34,F30-34,6.975
